# compare.tsv — the `tcmp` three-way comparison, exhaustive over scalars.
#
# `a tcmp b` yields -1 / 0 / 1 — a sorts before / with / after b — over
# the UNIFIED total order across every value (the order `sort` and the
# collection words use; see eng/go/compare.go). The family-restricted
# words cmp / lt / lte / gt / gte share this order but reject cross-
# family pairs ([boru/incomparable]) — see compare-restrict.tsv — so this
# exhaustive cross-product is exercised through tcmp. The rows are the
# full cross product of a representative value of each scalar kind, a
# path value, and every scalar type literal.
#
# Order rules:
#
#   1. Cross-family pairs (e.g. Integer vs String) settle by the
#      unified lattice Rank — no Comparer applies, so compareTypes
#      orders by Rank → depth → name → ID.
#   2. Same-family pairs settle through the family Comparer (Number,
#      String, Boolean, Atom, Pathon). Within a family:
#      a. Type literal vs concrete: type literal sorts FIRST.
#         (`Integer tcmp 0 → -1`, `String tcmp '' → -1`, etc.)
#      b. Type literal vs type literal: by lattice Rank
#         (`Number tcmp Integer → -1` because Number < Integer in Rank).
#      c. Concrete vs concrete: by value content (numeric magnitude,
#         lex, etc.). Cross-leaf numeric magnitude can tie
#         (`1 tcmp 1.0 → 0` — by design).
#
# The result is a strict total order over distinct lattice nodes; the
# only equivalence is cross-leaf numeric magnitude (1 == 1.0). See
# design/TYPE-ORDERING.10.md.

# a = 5
5 tcmp 5	0
5 tcmp -2	1
5 tcmp 3.5	1
5 tcmp ''	-1
5 tcmp 'hi'	-1
5 tcmp true	1
5 tcmp false	1
5 tcmp cat/q	1
5 tcmp (make Pathon ['a' 'b'])	-1
5 tcmp Scalar	1
5 tcmp Atom	1
5 tcmp Boolean	1
5 tcmp Number	1
5 tcmp Integer	1
5 tcmp Float	1
5 tcmp String	-1
5 tcmp EmptyString	-1
5 tcmp ProperString	-1
5 tcmp Pathon	-1

# a = -2
-2 tcmp 5	-1
-2 tcmp -2	0
-2 tcmp 3.5	-1
-2 tcmp ''	-1
-2 tcmp 'hi'	-1
-2 tcmp true	1
-2 tcmp false	1
-2 tcmp cat/q	1
-2 tcmp (make Pathon ['a' 'b'])	-1
-2 tcmp Scalar	1
-2 tcmp Atom	1
-2 tcmp Boolean	1
-2 tcmp Number	1
-2 tcmp Integer	1
-2 tcmp Float	1
-2 tcmp String	-1
-2 tcmp EmptyString	-1
-2 tcmp ProperString	-1
-2 tcmp Pathon	-1

# a = 3.5
3.5 tcmp 5	-1
3.5 tcmp -2	1
3.5 tcmp 3.5	0
3.5 tcmp ''	-1
3.5 tcmp 'hi'	-1
3.5 tcmp true	1
3.5 tcmp false	1
3.5 tcmp cat/q	1
